10,-31,140
33,-23,150
42,-5,160
32,-25,170
0,-18,180
16,-8,190
12,-12,200
8,13,210
3,-24,220
18,-24,230
11,-35,240
20,-18,250
35,-2,260
-4,-44,270
43,-10,280
14,-3,290
38,-26,300
16,-15,310
45,5,320
2,-15,330
16,-13,340
51,-11,350
37,-17,360
18,-16,370
52,-18,380
20,-5,390
24,-14,400
60,-23,410
48,-21,420
53,-1,430
8,-16,440
12,-37,450
28,-25,460
55,-18,470
35,-33,480
27,-24,490
11,-31,500
56,-17,510
47,-15,520
31,-32,530
33,-32,540
41,-25,550
55,-10,560
42,-16,570
51,-11,590
31,2,580
59,-7,600
51,-3,610
71,-27,620
48,-41,630
49,-34,640
36,-26,650
31,-49,660
49,-27,670
68,-27,680
33,-14,690
40,-29,700
34,-10,710
42,1,720
47,-21,730
53,5,740
53,-11,750
43,-2,760
52,-13,770
61,-3,780
64,-25,790
38,-16,800
36,-11,810
39,-5,820
55,10,830
55,-14,840
19,-9,850
42,-19,860
55,1,870
27,-20,880
37,-26,890
39,-46,1380
31,-4,1390
47,-22,1400
25,-14,1410
42,-19,1420
42,-10,1430
27,-14,1440
30,-33,1450
12,-11,1460
57,-24,1470
37,-19,1480
49,-10,1490
61,-33,1500
27,-47,1510
29,-10,1520
51,-23,1530
39,7,1540
1,-6,1550
21,0,1560
6,-11,1570
23,-32,1580
34,-30,1590
61,-14,1600
23,9,1610
39,-12,1620
25,-10,1630
41,-5,1640
30,-6,1650
69,-13,1660
26,-12,1670
31,8,1680
35,-24,1690
55,-42,1700
35,-13,1710
2,-36,1720
44,-6,1730
14,-15,1740
69,-14,1750
51,-2,1760
58,13,1770
32,-15,1780
31,-37,1790
55,-35,1800
45,-13,1810
41,-29,1820
27,-7,1830
27,-26,1840
17,-47,1850
65,-33,1860
39,-6,1870
38,-18,1880
14,3,1890
47,-2,1900
12,-27,1910
12,-32,1920
39,-23,1930
35,-21,1940
49,-29,1950
-3,-19,1960
20,-19,1970
17,-15,1980
21,-35,1990
43,-32,2000
10,-20,2010
46,-47,2020
27,-10,2030
38,-35,2040
14,-11,2050
57,-2,2060
48,-12,2070
36,-3,2080
45,-8,2090
40,4,2100
56,-23,2110
38,-14,2120
33,-34,2130
17,-24,2140
33,-20,2150
47,-8,2160
53,-8,2170
39,-18,2180
44,-35,2190
-12,-16,130
34,-24,140
73,-24,150
32,-22,160
35,-28,170
42,-28,180
31,-10,190
23,0,210
20,-24,200
46,-33,220
32,-21,230
19,-15,240
32,-29,260
40,-20,250
20,-25,280
24,-23,290
23,-12,270
26,-21,300
40,-20,310
